NUTS_ID,CAPRI_NUTS_ID,NUTS_NAME,NUTS_YEAR,IS_ARTIFICIAL
AT11,AT110000,Burgenland (AT),2010,0
AT12,AT120000,Niederösterreich,2010,0
AT13,AT130000,Wien,2010,0
AT21,AT210000,Kärnten,2010,0
AT22,AT220000,Steiermark,2010,0
AT31,AT310000,Oberösterreich,2010,0
AT32,AT320000,Salzburg,2010,0
AT33,AT330000,Tirol,2010,0
AT34,AT340000,Vorarlberg,2010,0
BE10,BL100000,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest,2010,0
BE21,BL210000,Prov. Antwerpen,2010,0
BE22,BL220000,Prov. Limburg (BE),2010,0
BE23,BL230000,Prov. Oost-Vlaanderen,2010,0
BE24,BL240000,Prov. Vlaams-Brabant,2010,0
BE25,BL250000,Prov. West-Vlaanderen,2010,0
BE31,BL310000,Prov. Brabant Wallon,2010,0
BE32,BL320000,Prov. Hainaut,2010,0
BE33,BL330000,Prov. Liège,2010,0
BE34,BL340000,Prov. Luxembourg (BE),2010,0
BE35,BL350000,Prov. Namur,2010,0
BG31,BG010000,Severozapaden,2010,0
BG32,BG020000,Severen tsentralen,2010,0
BG33,BG030000,Severoiztochen,2010,0
BG34,BG060000,Yugoiztochen,2010,0
BG41,BG040000,Yugozapaden,2010,0
BG42,BG050000,Yuzhen tsentralen,2010,0
CZ01,CZ010000,Praha,2010,0
CZ02,CZ020000,Strední Cechy,2010,0
CZ03,CZ030000,Jihozápad,2010,0
CZ04,CZ040000,Severozápad,2010,0
CZ05,CZ050000,Severovýchod,2010,0
CZ06,CZ060000,Jihovýchod,2010,0
CZ07,CZ070000,Strední Morava,2010,0
CZ08,CZ080000,Moravskoslezsko,2010,0
DE11,DE110000,Stuttgart,2003,0
DE12,DE120000,Karlsruhe,2003,0
DE13,DE130000,Freiburg,2003,0
DE14,DE140000,Tübingen,2003,0
DE21,DE210000,Oberbayern,2003,0
DE22,DE220000,Niederbayern,2003,0
DE23,DE230000,Oberpfalz,2003,0
DE24,DE240000,Oberfranken,2003,0
DE25,DE250000,Mittelfranken,2003,0
DE26,DE260000,Unterfranken,2003,0
DE27,DE270000,Schwaben,2003,0
DE30,DE300000,Berlin,2003,0
DE4,DE400000,Brandenburg,2003,0
DE50,DE500000,Bremen,2003,0
DE60,DE600000,Hamburg,2003,0
DE71,DE710000,Darmstadt,2003,0
DE72,DE720000,Gießen,2003,0
DE73,DE730000,Kassel,2003,0
DE80,DE800000,Mecklenburg-Vorpommern,2003,0
DE91,DE910000,Braunschweig,2003,0
DE92,DE920000,Hannover,2003,0
DE93,DE930000,Lüneburg,2003,0
DE94,DE940000,Weser-Ems,2003,0
DEA1,DEA10000,Düsseldorf,2003,0
DEA2,DEA20000,Köln,2003,0
DEA3,DEA30000,Münster,2003,0
DEA4,DEA40000,Detmold,2003,0
DEA5,DEA50000,Arnsberg,2003,0
DEB1,DEB10000,Koblenz,2003,0
DEB2,DEB20000,Trier,2003,0
DEB3,DEB30000,Rheinhessen-Pfalz,2003,0
DED,DED00000,Sachsen,2003,0
DEE,DEE00000,Sachsen-Anhalt,2003,0
DEF0,DEF00000,Schleswig-Holstein,2003,0
EL11,EL110000,Anatoliki Makedonia: Thraki,2010,0
EL12,EL120000,Kentriki Makedonia,2010,0
EL13,EL130000,Dytiki Makedonia,2010,0
EL14,EL140000,Thessalia,2010,0
EL21,EL210000,Ipeiros,2010,0
EL22,EL220000,Ionia Nisia,2010,0
EL23,EL230000,Dytiki Ellada,2010,0
EL24,EL240000,Sterea Ellada,2010,0
EL25,EL250000,Peloponnisos,2010,0
EL30,EL300000,Attiki,2010,0
EL41,EL410000,Voreio Aigaio,2010,0
EL42,EL420000,Notio Aigaio,2010,0
EL43,EL430000,Kriti,2010,0
ES11,ES110000,Galicia,2010,0
ES12,ES120000,Principado de Asturias,2010,0
ES13,ES130000,Cantabria,2010,0
ES21,ES210000,País Vasco,2010,0
ES22,ES220000,Comunidad Foral de Navarra,2010,0
ES23,ES230000,La Rioja,2010,0
ES24,ES240000,Aragón,2010,0
ES30,ES300000,Comunidad de Madrid,2010,0
ES41,ES410000,Castilla y León,2010,0
ES42,ES420000,Castilla-la Mancha,2010,0
ES43,ES430000,Extremadura,2010,0
ES51,ES510000,Cataluña,2010,0
ES52,ES520000,Comunidad Valenciana,2010,0
ES53,ES530000,Illes Balears,2010,0
ES61,ES610000,Andalucía,2010,0
ES62,ES620000,Región de Murcia,2010,0
ES63,ES630000,Ciudad Autónoma de Ceuta (ES),2010,0
ES64,ES640000,Ciudad Autónoma de Melilla (ES),2010,0
ES70,ES700000,Canarias (ES),2010,0
FI13,FI130000,Itä-Suomi,2006,0
FI18,FI180000,Etelä-Suomi,2006,0
FI19,FI190000,Länsi-Suomi,2006,0
FI20,FI200000,Åland,2006,0
FR10,FR100000,Île de France,2010,0
FR21,FR210000,Champagne-Ardenne,2010,0
FR22,FR220000,Picardie,2010,0
FR23,FR230000,Haute-Normandie,2010,0
FR24,FR240000,Centre (FR),2010,0
FR25,FR250000,Basse-Normandie,2010,0
FR26,FR260000,Bourgogne,2010,0
FR30,FR300000,Nord - Pas-de-Calais,2010,0
FR41,FR410000,Lorraine,2010,0
FR42,FR420000,Alsace,2010,0
FR43,FR430000,Franche-Comté,2010,0
FR51,FR510000,Pays de la Loire,2010,0
FR52,FR520000,Bretagne,2010,0
FR53,FR530000,Poitou-Charentes,2010,0
FR61,FR610000,Aquitaine,2010,0
FR62,FR620000,Midi-Pyrénées,2010,0
FR63,FR630000,Limousin,2010,0
FR71,FR710000,Rhône-Alpes,2010,0
FR72,FR720000,Auvergne,2010,0
FR81,FR810000,Languedoc-Roussillon,2010,0
FR82,FR820000,Provence-Alpes-Côte dAzur,2010,0
FR83,FR830000,Corse,2010,0
HU10,HU100000,Közép-Magyarország,2010,0
HU21,HU210000,Közép-Dunántúl,2010,0
HU22,HU220000,Nyugat-Dunántúl,2010,0
HU23,HU230000,Dél-Dunántúl,2010,0
HU31,HU310000,Észak-Magyarország,2010,0
HU32,HU320000,Észak-Alföld,2010,0
HU33,HU330000,Dél-Alföld,2010,0
IE01,IR010000,Border: Midland and Western,2010,0
IE02,IR020000,Southern and Eastern,2010,0
ITC1,IT110000,Piemonte,2006,0
ITC2,IT120000,Valle dAosta-Vallée dAoste,2006,0
ITC3,IT130000,Liguria,2006,0
ITC4,IT200000,Lombardia,2006,0
IT31,IT310000,Trentino-Alto Adige,2006,0
ITD3,IT320000,Veneto,2006,0
ITD4,IT330000,Friuli-Venezia Giulia,2006,0
ITD5,IT400000,Emilia-Romagna,2006,0
ITE1,IT510000,Toscana,2006,0
ITE2,IT520000,Umbria,2006,0
ITE3,IT530000,Marche,2006,0
ITE4,IT600000,Lazio,2006,0
ITF1,IT710000,Abruzzo,2006,0
ITF2,IT720000,Molise,2006,0
ITF3,IT800000,Campania,2006,0
ITF4,IT910000,Puglia,2006,0
ITF5,IT920000,Basilicata,2006,0
ITF6,IT930000,Calabria,2006,0
ITG1,ITA00000,Sicilia,2006,0
ITG2,ITB00000,Sardegna,2006,0
NL11,NL110000,Groningen,2010,0
NL12,NL120000,Friesland (NL),2010,0
NL13,NL130000,Drenthe,2010,0
NL21,NL210000,Overijssel,2010,0
NL22,NL220000,Gelderland,2010,0
NL23,NL230000,Flevoland,2010,0
NL31,NL310000,Utrecht,2010,0
NL32,NL320000,Noord-Holland,2010,0
NL33,NL330000,Zuid-Holland,2010,0
NL34,NL340000,Zeeland,2010,0
NL41,NL410000,Noord-Brabant,2010,0
NL42,NL420000,Limburg (NL),2010,0
PL11,PL110000,Lódzkie,2010,0
PL12,PL120000,Mazowieckie,2010,0
PL21,PL210000,Malopolskie,2010,0
PL22,PL220000,Slaskie,2010,0
PL31,PL310000,Lubelskie,2010,0
PL32,PL320000,Podkarpackie,2010,0
PL33,PL330000,Swietokrzyskie,2010,0
PL34,PL340000,Podlaskie,2010,0
PL41,PL410000,Wielkopolskie,2010,0
PL42,PL420000,Zachodniopomorskie,2010,0
PL43,PL430000,Lubuskie,2010,0
PL51,PL510000,Dolnoslaskie,2010,0
PL52,PL520000,Opolskie,2010,0
PL61,PL610000,Kujawsko-Pomorskie,2010,0
PL62,PL620000,Warminsko-Mazurskie,2010,0
PL63,PL630000,Pomorskie,2010,0
PT11,PT110000,Norte,2010,0
PT15,PT150000,Algarve,2010,0
PT16,PT160000,Centro (PT),2010,0
PT17,PT170000,Lisboa,2010,0
PT18,PT180000,Alentejo,2010,0
PT20,PT200000,Região Autónoma dos Açores (PT),2010,0
PT30,PT300000,Região Autónoma da Madeira (PT),2010,0
RO11,RO060000,Nord-Vest,2010,0
RO12,RO070000,Centru,2010,0
RO21,RO010000,Nord-Est,2010,0
RO22,RO020000,Sud-Est,2010,0
RO31,RO030000,Sud,2010,0
RO32,RO080000,Bucuresti,2010,0
RO41,RO040000,Sud-Vest Oltenia,2010,0
RO42,RO050000,Vest,2010,0
SE11,SE010000,Stockholm,2010,0
SE12,SE020000,Östra Mellansverige,2010,0
SE21,SE090000,Småland med öarna,2010,0
SE22,SE040000,Sydsverige,2010,0
SE23,SE0A0000,Västsverige,2010,0
SE31,SE060000,Norra Mellansverige,2010,0
SE32,SE070000,Mellersta Norrland,2010,0
SE33,SE080000,Övre Norrland,2010,0
SK01,SK010000,Bratislavský kraj,2010,0
SK02,SK020000,Západné Slovensko,2010,0
SK04,SK040000,Východné Slovensko,2010,0
TR10,TR100000,"	Istanbul	",2010,0
TR21,TR210000,"	Tekirdag	",2010,0
TR22,TR220000,"	Balikesir	",2010,0
TR31,TR310000,"	Izmir	",2010,0
TR32,TR320000,"	Aydin	",2010,0
TR33,TR330000,"	Manisa	",2010,0
TR41,TR410000,"	Bursa	",2010,0
TR42,TR420000,"	Kocaeli	",2010,0
TR51,TR510000,"	Ankara	",2010,0
TR52,TR520000,"	Konya	",2010,0
TR61,TR610000,"	Antalya	",2010,0
TR62,TR620000,"	Adana	",2010,0
TR63,TR630000,"	Hatay	",2010,0
TR71,TR710000,"	Kirikkale	",2010,0
TR72,TR720000,"	Kayseri	",2010,0
TR81,TR810000,"	Zonguldak	",2010,0
TR82,TR820000,"	Kastamonu	",2010,0
TR83,TR830000,"	Samsun	",2010,0
TR90,TR900000,"	Dogu Karadeniz	",2010,0
TRA1,TRA10000,"	Erzurum	",2010,0
TRA2,TRA20000,"	Agri	",2010,0
TRB1,TRB10000,"	Malatya	",2010,0
TRB2,TRB20000,"	Van	",2010,0
TRC1,TRC10000,"	Gaziantep	",2010,0
TRC2,TRC20000,"	Sanliurfa	",2010,0
TRC3,TRC30000,"	Mardin	",2010,0
UKC,UKC00000,NORTH EAST (ENGLAND),2006,0
UKD,UKD00000,NORTH WEST (ENGLAND),2006,0
UKE,UKE00000,YORKSHIRE AND THE HUMBER,2006,0
UKF,UKF00000,EAST MIDLANDS (ENGLAND),2006,0
UKG,UKG00000,WEST MIDLANDS (ENGLAND),2006,0
UKH,UKH00000,EAST OF ENGLAND,2006,0
UKI,UKI00000,LONDON,2006,0
UKJ,UKJ00000,SOUTH EAST (ENGLAND),2006,0
UKK,UKK00000,SOUTH WEST (ENGLAND),2006,0
UKL,UKL00000,WALES,2006,0
UKM,UKM00000,SCOTLAND,2006,0
UKN,UKN00000,NORTHERN IRELAND,2006,0
DEG0,DEG00000,Thüringen,2003,0
DEC0,DEC00000,Saarland,2003,0
FI1A,FI1A0000,Pohjois-Suomi,2006,0
SK03,SK030000,Stredné Slovensko,2010,0
CY,CY000000,Cyprus,2010,0
EE,EE000000,Estonia,2010,0
LT,LT000000,Lithuania,2010,0
LU,BL400000,Luxembourg,2010,0
LV,LV000000,Latvia,2010,0
MT,MT000000,Malta,2010,0
HR,HR000000,Croatia,2010,0
DK,DK000000,Denmark,2010,0
SI,SI000000,Slovenia,2010,0
AT,AT000000,Austria,,1
BL,BL000000,Belgium and Luxembourg,,1
CZ,CZ000000,Czech Republic,,1
DE,DE000000,Germany,,1
EL,EL000000,Greece,,1
ES,ES000000,Spain,,1
FI,FI000000,Finland,,1
FR,FR000000,France,,1
HU,HU000000,Hungary,,1
IE,IR000000,Ireland,,1
IT,IT000000,Italy,,1
NL,NL000000,The Netherlands,,1
PL,PL000000,Poland,,1
PT,PT000000,Portugal,,1
RO,RO000000,Romania,,1
SE,SE000000,Sweden,,1
SK,SK000000,Slovakia,,1
TR,TR000000,Turkey,,1
BG,BG000000,Bulgaria,,1
UK,UK000000,United Kingdom,,1
